,Desease,Symptoms
59,fast_heart_rate,"Pneumonia, Hyperthyroidism"
60,pain_during_bowel_movements,Dimorphic hemmorhoids(piles)
61,pain_in_anal_region,Dimorphic hemmorhoids(piles)
62,bloody_stool,Dimorphic hemmorhoids(piles)
63,irritation_in_anus,Dimorphic hemmorhoids(piles)
64,neck_pain,"Cervical spondylosis, Osteoarthristis"
65,dizziness,"Hypertension , Cervical spondylosis, Hypothyroidism"
66,cramps,Varicose veins
67,bruising,Varicose veins
68,obesity,"Diabetes , Varicose veins"
69,swollen_legs,Varicose veins
70,swollen_blood_vessels,Varicose veins
71,puffy_face_and_eyes,Hypothyroidism
72,enlarged_thyroid,Hypothyroidism
73,brittle_nails,Hypothyroidism
74,swollen_extremeties,Hypothyroidism
75,excessive_hunger,"Diabetes , Migraine, Hyperthyroidism, Hypoglycemia"
76,extra_marital_contacts,AIDS
77,drying_and_tingling_lips,Hypoglycemia
78,slurred_speech,Hypoglycemia
79,knee_pain,Osteoarthristis
80,hip_joint_pain,Osteoarthristis
81,muscle_weakness,"Hyperthyroidism, Arthritis"
82,stiff_neck,"Migraine, Arthritis"
83,swelling_joints,"Osteoarthristis, Arthritis"
84,movement_stiffness,Arthritis
85,spinning_movements,(vertigo) Paroymsal  Positional Vertigo
86,loss_of_balance,"Hypertension , Cervical spondylosis, (vertigo) Paroymsal  Positional Vertigo"
87,unsteadiness,(vertigo) Paroymsal  Positional Vertigo
88,weakness_of_one_body_side,Paralysis (brain hemorrhage)
89,loss_of_smell,Common Cold
90,bladder_discomfort,Urinary tract infection
91,foul_smell_of urine,Urinary tract infection
92,continuous_feel_of_urine,Urinary tract infection
93,passage_of_gases,Peptic ulcer diseae
94,internal_itching,Peptic ulcer diseae
95,toxic_look_(typhos),Typhoid
96,depression,"Migraine, Hypothyroidism"
97,irritability,"Migraine, Hypothyroidism, Hyperthyroidism, Hypoglycemia"
98,muscle_pain,"Malaria, Dengue, hepatitis A, Common Cold"
99,altered_sensorium,Paralysis (brain hemorrhage)
100,red_spots_over_body,"Chicken pox, Dengue"
101,belly_pain,Typhoid
102,abnormal_menstruation,"Hypothyroidism, Hyperthyroidism"
103,dischromic _patches,Fungal infection
104,watering_from_eyes,Allergy
105,increased_appetite,Diabetes 
106,polyuria,Diabetes 
107,family_history,"Bronchial Asthma, Hepatitis C"
108,mucoid_sputum,Bronchial Asthma
109,rusty_sputum,Pneumonia
110,lack_of_concentration,Hypertension 
111,visual_disturbances,Migraine
112,receiving_blood_transfusion,Hepatitis B
113,receiving_unsterile_injections,Hepatitis B
114,coma,Hepatitis E
115,stomach_bleeding,Hepatitis E
116,distention_of_abdomen,Alcoholic hepatitis
117,history_of_alcohol_consumption,Alcoholic hepatitis
118,fluid_overload.1,Alcoholic hepatitis
119,blood_in_sputum,Tuberculosis
120,prominent_veins_on_calf,Varicose veins
121,palpitations,Hypoglycemia
122,painful_walking,"Osteoarthristis, Arthritis"
123,pus_filled_pimples,Acne
124,blackheads,Acne
125,scurring,Acne
126,skin_peeling,Psoriasis
127,silver_like_dusting,Psoriasis
128,small_dents_in_nails,Psoriasis
129,inflammatory_nails,Psoriasis
130,blister,Impetigo
131,red_sore_around_nose,Impetigo
132,yellow_crust_ooze,Impetigo
