,Input Database,ID,Gejala (Inggris),Gejala (Indonesia),Penjelasan,Bentuk Pertanyaan,link gambar
47,,47,swelled_lymph_nodes,Pembengkakan Kelenjar Getah Bening,"Pembengkakan kelenjar getah bening atau dalam bahasa medis disebut limfadenopati merupakan istilah yang digunakan untuk mendeskripsikan pembesaran kelenjar limfe pada ketiak, selangkangan, leher, dada, dan perut. Kelenjar limfe bertugas sebagai penyaring cairan limfe yang bersirkulasi di seluruh tubuh. Pembengkakan kelenjar getah bening dapat bersifat terlokalisir maupun umum (general). Kondisi ini paling sering ditemukan di daerah leher.",Apakah terdapat pembengkakan pada bagian kelenjar getah bening anda?,https://lh3.googleusercontent.com/proxy/CSDCHdWYNsj2g3kooUcYiU-fx0sjGGKxNdkT-KQfcwhgHbo226qv8d0-aR9aJnJZtKlwGMWPL-JUnC1f1Nutq_w41x75WJP9gF_5QT29cyaI6Jmx0WzR
48,,48,malaise,Tidak Enak Badan,"Malaise adalah istilah medis untuk menggambarkan perasaan lelah, tidak nyaman, dan kurang enak badan yang tidak diketahui apa penyebabnya. Kondisi ini bukanlah suatu penyakit, melainkan gejala dari penyakit tertentu dan bisa berlangsung selama beberapa minggu hingga bertahun-tahun.",Apakah anda saat ini merasakan tidak enak badan?,https://image-cdn.medkomtek.com/6fyoqFHbZaiCb-xmW3Uct9YWJ2k=/0x78:999x641/1200x675/klikdokter-media-buckets/medias/2304007/original/053693300_1551069205-_Utama_Kiat-Terbaik-untuk-Atasi-Badan-Lemas-mas-By-Kokulina-Shutterstock.jpg
49,,49,blurred_and_distorted_vision,Mata Kabur,Mata kabur adalah hilangnya ketajaman penglihatan dan ketidakmampuan untuk melihat suatu benda secara mendetail. Mata kabur terkadang pertanda gejala dari suatu penyakit yang serius,Apakah anda saat ini mengalami gangguan penglihatan ?,https://www.essilor.co.id/sites/default/files/2018-07/causes-of-blurred-vision.jpg
50,,50,phlegm,Batuk Berdahak,"Batuk berdahak adalah gejala batuk yang disertai dengan keluarnya lendir, biasanya berwaarna putih hingga kuning",Apakah anda akhir-akhir ini mengalami batuk berdahak?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1543830708/attached_image/penyebab-batuk-berdahak-dan-batuk-kering-serta-cara-mengobatinya.jpg
51,,51,throat_irritation,Sakit Tenggorokan,Radang tenggorokan merupakan infeksi bakteri yang bisa membuat tenggorokan terasa sakit dan gatal. Radang tenggorokan merupakan salah satu penyebab dari banyaknya penyebab sakit tenggorokan.,Apakah anda merasakan sakit di tenggorokan?,https://d1bpj0tv6vfxyp.cloudfront.net/articles/43c4f613-5d2e-4a56-ad8f-b6e73b47203b_article_image_url.webp
52,,52,redness_of_eyes,Mata Merah,Mata merah adalah gejala yang sangat mudah dikenali. Mata merah bisa disebabkan oleh deman atau alergi,Apakah saat ini mata anda merah?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1611576081/attached_image/penyebab-mata-merah-0-alodokter.jpg
53,,53,sinus_pressure,Hidung Terasa Sakit,Hidung terasa sakit dan perih bisa terjadi akibat iritasi pada saluran hidung atau kondisi medis tertentu.,Apakah hidung anda terasa sakit ?,https://cms.sehatq.com/public/img/article_img/hidung-terasa-sakit-dan-perih-ini-penyebab-dan-cara-mengatasinya-1614180084.jpg
54,,54,runny_nose,Pilek,"Pilek adalah kondisi ketika hidung mengeluarkan ingus atau lendir, baik sesekali maupun terus-menerus",Apakah anda saat ini mengalami pilek?,http://www.alodokter.com/wp-content/uploads/2014/10/pilek-alodokter.jpg
55,,55,congestion,Hidung Tersumbat,Hidung tersumbat adalah gejala yang menyebabkan salah satu lubang hidung terasa tertutup sehingga sulit untuk bernafas. Gejala ini umumnya timbul pada saat anda mengalami flu.,Apakah anda saat ini mengalami hidung tersumbat?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1589163816/attached_image/penyebab-hidung-tersumbat-dan-tips-mudah-mengatasinya-0-alodokter.jpg
56,,56,chest_pain,Nyeri Dada,"Nyeri dada adalah kondisi ketika dada terasa seperti tertusuk, perih, atau tertekan. Nyeri ini bisa terjadi di dada sebelah kanan, sebelah kiri, atau dada tengah. Nyeri dada tidak boleh diabaikan, karena bisa jadi merupakan gejala dari serangan jantung.  ",Apakah anda merasakan nyeri di bagian dada anda?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1591920111/attached_image/nyeri-dada-0-alodokter.jpg
57,,57,weakness_in_limbs,Kelembahan pada Lengan atau Tangan,"Gejala ini ditandai dengan terasa lemas, kaku, atau kesemutan pada bagian tangan atau lengan","Apakah tangan atau lengan anda terasa lemas, kaku atau kesemutan?",https://cdn.hellosehat.com/wp-content/uploads/2019/05/peregangan-pergelangan-tangan.jpg
58,,58,fast_heart_rate,Detak Jantung Cepat,Detak jantung cepat adalah kondisi saat detak jantung mencapai lebih dari 100 kali dalam semenit. Pada orang dewasa detang jantung normal adalah dari 60-100 kali dalam semenit.,Apakah anda merasakan detak jantung lebih cepat dari biasanya ? diatas 100 kali dalam semenit?,https://merahputih.com/media/74/3a/fa/743afa8ce5426051d5de4a578247ca6e.PNG
59, ,59,pain_during_bowel_movements,Nyeri Saat BAB,Gejala ini dirasakan pada saat anda BAB terasa sakit didaerah anus anda.,Apakah anda merasakan nyeri pada saat BAB?,https://d324bm9stwnv8c.cloudfront.net/buang-air-besar-berdarah-bisa-jadi-pertanda-penyakit-serius-halodoc.jpg
60,,60,pain_in_anal_region,Nyeri Anus,"Nyeri anus atau proctalgia adalah rasa sakit pada bagian anus atau rektum. Kondisi ini umumnya tidak berbahaya dan bisa mereda dengan sendirinya. Namun, pada beberapa kondisi, nyeri anus bisa menjadi salah satu gejala dari penyakit tertentu yang memerlukan penanganan medis.",Apakah anda merasakan nyeri dibagian daerah anus anda?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1546836337/attached_image/anus-gatal-alodokter.jpg
61,,61,bloody_stool,BAB Berdarah ,"Buang air besar (BAB) berdarah, adalah kondisi ketika terdapat darah dalam feses. Kondisi ini merupakan gejala adanya perdarahan di saluran pencernaan. BAB berdarah dapat mengakibatkan kondisi medis yang serius dan berakibat fatal",Apakah anda sedang mengalami BAB Berdarah?,https://www.honestdocs.id/system/blog_articles/main_hero_images/000/007/420/original/iStock-1142606760_%281%29.jpg
62,,62,irritation_in_anus,Iritasi Pada Bagian Anus,Iritasi pada anus adalah kondisi dimana terdapat luka pada daerah anus yang ditandai dengan rasa sakit melakukan BAB,Apakah terdapat iritasi pada daerah anus anda?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1591353341/attached_image/anus-gatal.jpg
63,,63,neck_pain,Nyeri Leher,"Nyeri leher adalah rasa sakit yang muncul di leher belakang, leher sebelah kanan, leher sebelah kiri, maupun leher depan",Apakah anda merasakan nyeri pada bagian leher anda?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1606637516/attached_image/sakit-leher-0-alodokter.jpg
