ID,Disease,Description,Recomendation,Image,
14,Penyakit kuning,"Pewarnaan kuning pada kulit dan sklera (bagian putih mata) oleh tingginya kadar pigmen bilirubin dalam darah yang tidak normal. Menguningnya meluas ke jaringan lain dan cairan tubuh. Penyakit kuning pernah disebut ""morbus regius"" (penyakit agung) dengan keyakinan bahwa hanya dengan sentuhan seorang raja yang dapat menyembuhkannya.","Minumlah air yang banyak, Konsumsi obat herbal berbahan tanaman milk thistle, Makan buah-buahan dan makanan berserat tinggi seperti jagung, Lakukan pengobatan sesegera mungkin",https://cdn.hellosehat.com/wp-content/uploads/2016/09/Penyakit-Kuning-Jaundice.jpg,
15,Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari famili Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum atau transfusi yang terkontaminasi. Malaria falciparum adalah jenis yang paling mematikan.,"Konsultasikan dengan rumah sakit terdekat, hindari makanan berminyak, Hindari makanan non vegetarian, Pastikan tidak terdapat nyamuk disekitar",https://d1bpj0tv6vfxyp.cloudfront.net/articles/48906_1-2-2021_23-30-12.jpeg,
16,Cacar air,"Cacar air adalah penyakit sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal dan seperti lepuh. Ruam pertama kali muncul di dada, punggung, dan wajah, lalu menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.","Konsumsi obat herbal berbahan daun mimba (anda dapat mencarinya diinternet), Lakukan vaksinasi, Hindari tempat umum",https://asset.kompas.com/crops/iShiCIgIKioAU6lpDpv6BAENLVI=/112x0:697x390/750x500/data/photo/2016/01/29/0111096ThinkstockPhotos-469991401780x390.jpg,
17,Demam berdarah,"penyakit infeksi akut yang disebabkan oleh flavivirus (spesies virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam. - Disebut juga demam breakbone, demam berdarah.","Minum jus daun pepaya, Hindari makanan pedas berlemak, Hindari tempat yang berpotensi terdapat banyak nyamuk, Tetap terhidrasi jangan sampai kehausan",https://kendaripos.co.id/wp-content/uploads/2020/03/Waspada-DBD-Ini-Cara-Mudah-Basmi-Jentik-Nyamuk-Demam-Berdarah-Tanpa-Fogging-dan-Biaya-Banyak-master-1131009822.jpg,
18,Penyakit tipus,"Penyakit akut yang ditandai dengan demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki serangan yang berbahaya, dengan demam, sakit kepala, sembelit, malaise, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah.","Makan sayuran berkalori tinggi seperti wortel, Lakukan terapi antibiotik, Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin",https://cdn.hellosehat.com/wp-content/uploads/2016/09/tipes.jpg,
19,hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan hati Anda untuk berfungsi.,"Konsultasikan dengan rumah sakit terdekat, Rajinlah melakukan cuci tangan, Hindari makanan pedas berlemak, Lakukan pengobatan sesegera mungkin",https://www.suarasurabaya.net/wp-content/uploads/2020/02/14a520e54c0089c67ae33e10c6f352cf.jpg,
20,Hepatitis B,"Hepatitis B adalah infeksi hati Anda. Dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Ini bisa berakibat fatal jika tidak dirawat. Ini menyebar ketika orang melakukan kontak dengan darah, luka terbuka, atau cairan tubuh seseorang yang memiliki virus hepatitis B.","Konsultasikan dengan rumah sakit terdekat, Lakukan vaksinasi, Makan makanan yang sehat, Lakukan pengobatan sesegera mungkin",https://image-cdn.medkomtek.com/INcirIn46OWKiqayf2UUIlSvTKc=/1200x675/smart/klikdokter-media-buckets/medias/2308649/original/093318800_1570449277-Bisakah-Penyakit-Hepatitis-B-Disembuhkan-By-Kateryna-Kon-Shutterstock.jpg,
21,Hepatitis C.,"Radang hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang), hemodialisis, dan jarum suntik. Kerusakan yang disebabkan hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker.","Konsultasikan dengan rumah sakit terdekat, Lakukan vaksinasi, Makan makanan yang sehat, Lakukan pengobatan sesegera mungkin",https://assets-a1.kompasiana.com/items/album/2016/12/29/hep-c-webmd-5864482a109373c70c2c4163.jpg,
22,Hepatitis D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan hati meradang. Pembengkakan ini dapat merusak fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut hati dan kanker. Kondisi tersebut disebabkan oleh virus hepatitis D (HDV).","Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin, Makan makanan yang sehat, Lakukan follow up apabila telah berobat ke dokter",https://indonesiare.co.id/uploads/2020/08/1597889959_banner.jpg,
23,Hepatitis E.,Bentuk peradangan hati langka yang disebabkan oleh infeksi virus hepatitis E (HEV). Ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui persediaan air yang terinfeksi di daerah di mana kotoran bisa masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.,"Hentikan mengkonsumsi minuman berarkohol, Lakukan istirahat, Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin",https://doktersehat.com/wp-content/uploads/2018/10/hepatitis-E.jpg,
24,Hepatitis alkoholik,"Hepatitis alkoholik adalah penyakit, kondisi peradangan hati yang disebabkan oleh konsumsi alkohol yang berlebihan dalam jangka waktu yang lama. Ini juga diperburuk oleh pesta minuman keras dan penggunaan alkohol yang berkelanjutan. Jika Anda mengembangkan kondisi ini, Anda harus berhenti minum alkohol","Hentikan mengkonsumsi minuman berarkohol, Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin, Lakukan follow up apabila telah berobat ke dokter",https://doktersehat.com/wp-content/uploads/2011/11/hepatitis-alkoholik.jpg,
25,Tuberkulosis,"Tuberkulosis (TB) adalah penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberculosis (MTB). Tuberkulosis umumnya menyerang paru-paru, tetapi bisa juga menyerang bagian tubuh lainnya. Kebanyakan infeksi tidak menunjukkan gejala, dalam hal ini disebut tuberkulosis laten.","Tutup mulut pada saat bantuk agar tidak menularkan ke orang lain, Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin, Lakukan istirahat",https://image-cdn.medkomtek.com/I7lnHhqjTKKXby52UidVHVHQHyQ=/673x379/smart/klikdokter-media-buckets/medias/2305743/original/080572700_1557897918-Selain-Cacar-Monyet-4-Penyakit-Ini-Ditularkan-oleh-Monyet-Tuberkulosis-By-Kateryna-Kon-Shutterstock.jpg,
26,Flu biasa,"Flu biasa adalah infeksi virus pada hidung dan tenggorokan Anda (saluran pernapasan bagian atas). Biasanya tidak berbahaya, meski mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.","Minum minuman yang memiliki kaya akan vitamin C, Lakukan terapi uap, Hindari makanan dan minuman dingin, Jaga demam tetap terkendali",Google.com,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2020/10/05/970439653.jpg
27,Radang paru-paru,"Pneumonia adalah infeksi di salah satu atau kedua paru-paru. Bakteri, virus, dan jamur menyebabkannya. Infeksi menyebabkan peradangan pada kantung udara di paru-paru Anda, yang disebut alveoli. Alveoli terisi cairan atau nanah, sehingga sulit bernapas.","Konsultasikan dengan dokter, Lakukan pengobatan sesegera mungkin, Lakukan istirahat, Lakukan follow up apabila telah berobat ke dokter",https://cms.sehatq.com/public/img/article_img/apa-perbedaan-gejala-radang-paru-paru-dengan-kanker-paru-1561000669.jpg,
28,Wasir dimorfik (tumpukan),"Wasir atau hemoroid adalah pembengkakan atau pembesaran dari pembuluh darah di usus besar bagian akhir (rektum), serta dubur atau anus. Wasir merupakan penyakit yang dapat menyerang segala usia, namun umumnya lebih sering menimbulkan keluhan pada usia 50 tahun atau lebih","Hindari makanan pedas berlemak, Gunakan obat berbahan witch hazel, Mandi air hangat dengan garam epsom, Konsumsilah jus alovera","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1517892090/Ambeien-dan-Wasir_ltwzd2.jpg",
29,Serangan jantung,"Kematian otot jantung karena kehilangan suplai darah. Hilangnya suplai darah biasanya disebabkan oleh penyumbatan total pada arteri koroner, salah satu arteri yang memasok darah ke otot jantung.","Hubungi ambulan segera, Kunyah atau telan asprin, Tetap tenang",https://www.emc.id/files/uploads/rticle/image/2020/Feb/21/5e4f8c4836e6f/kematian-mendadak-karena-penyakit-jantung-800x450.jpg?token=bdcf1bf2f0bf3e8c52ccec989dcb6483,
30,Pembuluh mekar,"Pembuluh darah yang membesar dan bengkok, sering kali muncul sebagai pembuluh darah biru yang menggembung dan terlihat jelas melalui kulit. Varises paling sering terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terjadi terutama di kaki.","berbaring telentang dan angkat kaki tinggi-tinggi, Gunakan salep, Gunakan kaus kaki untuk kompresi, Jangan berdiri terlalu lama",https://themainhealth.com/naturatik-id4/img/4.jpg,
31,Hipotiroidisme,"Hipotiroidisme, juga disebut tiroid kurang aktif atau tiroid rendah, adalah gangguan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.","kurangi stress dengan kegiatan yang membuat anda bahagia, Rutin berolahraga, Makan makanan yang sehat, Usahakan selalu dapat tidur yang nyenyak",http://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/05/04/1015915035.jpg,
32,Hipertiroidisme,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur.","Makan makanan yang sehat, Pijat pada bagian tubuh yang melemah, Konsumsi lemon balm, Lakukan pengobatan yodium radioaktif",https://cdn-2.tstatic.net/batam/foto/bank/images/tumor-tiroid.jpg,
33,Hipoglikemia,Hipoglikemia adalah suatu kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari biasanya. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering dikaitkan dengan pengobatan diabetes. Tetapi obat lain dan berbagai kondisi - banyak yang jarang - dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.,"Jika tidur usahakan dalam posisi miring, Segera cek denyut nadi jika melaju cepat datang ke layanan kesehatan terdekat, Minum minuman yang mengandung banyak gula, Konsultasikan dengan dokter",https://www.rs-jih.co.id/images/news/img_rFmS4yY.jpg,
34,Osteoartritis,"Osteoartritis adalah bentuk radang sendi yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang menjadi bantalan ujung tulang Anda melemah seiring waktu.","Konsumsi obat parasetamol dengan dosis sesuai kemasan, Konsultasikan dengan rumah sakit terdekat, Lakukan follow up apabila telah berobat ke dokter, Gunakan campuran garam pada saat mandi",https://media.geriatri.id/img/article/1606016343-osteoartritis-bagaimana-gejala-dan-penanganannya-arthrocalman-2384254_640.jpg,
35,Radang sendi,"Arthritis adalah pembengkakan dan nyeri tekan pada satu atau lebih persendian Anda. Gejala utama artritis adalah nyeri sendi dan kekakuan, yang biasanya memburuk seiring bertambahnya usia. Jenis radang sendi yang paling umum adalah osteoartritis dan rheumatoid arthritis.","Rutin berolahraga, Kompres dengan air panas dan dingin secara bergantian, Cobalah metode akupuntur, Pijat pada bagian tubuh yang melemah",https://cdns.klimg.com/merdeka.com/i/w/news/2020/09/28/1225444/540x270/8-makanan-pemicu-radang-sendi-yang-harus-dihindari-dapat-memperparah-kondisinya.jpg,
36,(Vertigo) Vertigo Posisi Paroksismal,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab paling umum dari vertigo - sensasi tiba-tiba Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.,"Beristirahatlah dengan tidur terlebih dahulu, hindari perubahan mendadak pada tubuh seperti kegiatan berolahraga, Hindari gerakan kepala yang tiba-tiba",https://cdn-cas.orami.co.id/parenting/images/gejala-dan-cara-penanganan-verti.original.jpegquality-90.jpg,
37,Jerawat,"Acne vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan / atau kista akibat obstruksi dan pembengkakan unit pilosebasea (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.","Mandi minimal 2 kali dalam sehari, Hindari makanan pedas berlemak, Minumlah air yang banyak, Hindari terlalu banyak variasi perawatan muka",https://www.alodokter.com/wp-content/uploads/2020/04/Ketahui-Berbagai-Cara-Menghilangkan-Jerawat-dengan-Cepat.jpg,
38,Infeksi saluran kemih,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. ISK disingkat. Tidak semua orang dengan ISK memiliki gejala, tetapi gejala yang umum termasuk sering ingin buang air kecil dan nyeri atau terbakar saat buang air kecil.","Minumlah air yang banyak, Tingkatkan asupan vitamin C dengan mengonsumsi makanan kaya akan vitamin C, Minum jus cranberry, Minum minumam probiotik",https://akcdn.detik.net.id/visual/2020/07/22/ilustrasi-saluran-kemih_169.jpeg?w=650,
39,Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk bercak tebal, merah, bergelombang yang ditutupi sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat ditularkan dari orang ke orang. Itu terkadang terjadi pada anggota keluarga yang sama.","cuci tangan dengan air sabun hangat, Hentikan pendarahan menggunakan tekanan, Konsultasikan dengan dokter, Gunakan campuran garam pada saat mandi",https://www.cderma.id/wp-content/uploads/2020/03/apa-itu-psoriasis-1024x683.jpg,
40,Impetigo,"Impetigo (im-puh-TIE-go) adalah infeksi kulit yang umum dan sangat menular yang terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka pecah dan timbul kerak berwarna madu.","rendam area yang terkena dalam air hangat, Gunakan anti biotik, Bersihkan koreng dengan kain kompres basah, Konsultasikan dengan dokter",https://cdn2.momjunction.com/wp-content/uploads/2016/01/Impetigo-In-Children-1.jpg,
